node	CSF3R	MPL	NRAS	DNMT3A	SF3B1	IDH1	GATA2	KIT	TET2	NPM1	EZH2	RAD21	MYC	JAK2	SMC3	WT1	CBL	ETV6	KRAS	PTPN11	FLT3	IDH2	TP53	NF1	PPM1D	SRSF2	SETBP1	CALR	ASXL1	RUNX1	U2AF1	ZRSR2	BCOR	KDM6A	SMC1A	STAG2	PHF6
Node 0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
Node 3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2
